,Office,Party,State
14,Governor of Alabama,Republican,Alabama
4,Governor of Alaska,Republican,Alaska
39,Governor of Arizona,Republican,Arizona
47,Governor of Arkansas,Republican,Arkansas
34,Governor of California,Democratic,California
8,Governor of Colorado,Democratic,Colorado
23,Governor of Connecticut,Democratic,Connecticut
44,Governor of Delaware,Democratic,Delaware
16,Governor of Florida,Republican,Florida
0,Governor of Georgia,Republican,Georgia
46,Governor of Hawaii,Democratic,Hawaii
9,Governor of Idaho,Republican,Idaho
13,Governor of Illinois,Democratic,Illinois
26,Governor of Indiana,Republican,Indiana
30,Governor of Iowa,Republican,Iowa
3,Governor of Kansas,Democratic,Kansas
6,Governor of Kentucky,Democratic,Kentucky
37,Governor of Louisiana,Democratic,Louisiana
51,Governor of Maine,Democratic,Maine
7,Governor of Maryland,Republican,Maryland
18,Governor of Massachusetts,Republican,Massachusetts
45,Governor of Michigan,Democratic,Michigan
12,Governor of Minnesota,Democratic,Minnesota
33,Governor of Mississippi,Republican,Mississippi
2,Governor of Missouri,Republican,Missouri
52,Governor of Montana,Democratic,Montana
53,Governor of Nebraska,Republican,Nebraska
38,Governor of Nevada,Democratic,Nevada
11,Governor of New Hampshire,Republican,New Hampshire
48,Governor of New Jersey,Democratic,New Jersey
10,Governor of New Mexico,Democratic,New Mexico
24,Governor of New York,Democratic,New York
50,Governor of North Carolina,Democratic,North Carolina
27,Governor of North Dakota,Republican,North Dakota
32,Governor of Ohio,Republican,Ohio
15,Governor of Oklahoma,Republican,Oklahoma
28,Governor of Oregon,Democratic,Oregon
29,Governor of Pennsylvania,Democratic,Pennsylvania
19,Governor of Rhode Island,Democratic,Rhode Island
21,Governor of South Carolina,Republican,South Carolina
25,Governor of South Dakota,Republican,South Dakota
1,Governor of Tennessee,Republican,Tennessee
17,Governor of Texas,Republican,Texas
35,Governor of Utah,Republican,Utah
20,Governor of Vermont,Republican,Vermont
31,Governor of Virginia,Democratic,Virginia
22,Governor of Washington,Democratic,Washington
49,Governor of West Virginia,Republican,West Virginia
5,Governor of Wisconsin,Democratic,Wisconsin
42,Governor of Wyoming,Republican,Wyoming
